bns_section,offence,punishment,cognizable,condition,bailable,triable_by,source_ref,notes
210(a),Omission to produce document to public servant by person legally bound to produce or deliver it.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate.","BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 173",
210(b),If the document is required to be produced in or delivered to a Court.,"Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",non_cognizable,,bailable,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate.","BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 173",
211(a),Intentional omission to give notice or information to public servant by person legally bound to give it.,"Simple imprisonment for 1 month, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 173",
211(b),"If the notice or information required respects the commission of an offence, etc.","Simple imprisonment for 6 months, or fine of 10,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 173",
211(c),If the notice or information is required by an order passed under sub-section (1) of section 394 of this Sanhita.,"Imprisonment for 6 months, or fine of 1,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 173",
212(a),Knowingly furnishing false information to public servant.,"Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 173",
212(b),"If the information required respects the commission of an offence, etc.","Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 173",
213,Refusing oath when duly required to take oath by a public servant.,"Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate.","BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 173",
214,"Being legally bound to state truth, and refusing to answer public servant authorised to question.","Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate.","BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 173",
215,Refusing to sign a statement made to a public servant when legally required to do so.,"Simple imprisonment for 3 months, or fine of 3,000 rupees, or both.",non_cognizable,,bailable,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate.","BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 173",
216,Knowingly stating to a public servant on oath as true that which is false.,Imprisonment for 3 years and fine.,non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
217,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person.,"Imprisonment for 1 year, or with fine of 10,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
218,Resistance to the taking of property by the lawful authority of a public servant.,"Imprisonment for 6 months, or fine of 10,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
219,Obstructing sale of property offered for sale by authority of a public servant.,"Imprisonment for 1 month, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
220,Illegal purchase or bid for property offered for sale by authority of public servant.,"Imprisonment for 1 month, or fine of 200 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
221,Obstructing public servant in discharge of his public functions.,"Imprisonment for 3 months, or fine of 2,500 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
222(a),Omission to assist public servant when bound by law to give such assistance.,"Simple imprisonment for 1 month, or fine of 2,500 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
222(b),"Wilfully neglecting to aid a public servant who demands aid in the execution of process, the prevention of offences, etc.","Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
223(a),"Disobedience to an order lawfully promulgated by a public servant, if such disobedience causes obstruction, annoyance or injury to persons lawfully employed.","Simple imprisonment for 6 months, or fine of 2,500 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
223(b),"If such disobedience causes danger to human life, health or safety, or causes or tends to cause a riot or affray.","Imprisonment for 1 year, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
224,"Threat of injury to public servant, etc.","Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
225,Threat of injury to induce person to refrain from applying for protection to public servant.,"Imprisonment for 1 year, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
226,Attempt to commit suicide to compel or restraint exercise of lawful power.,"Imprisonment for 1 year, or fine, or both, or community service.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
229(1),Intentionally giving or fabricating false evidence in a judicial proceeding.,"Imprisonment for 7 years and 10,000 rupees.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
229(2),Giving or fabricating false evidence in any other case.,"Imprisonment for 3 years and 5,000 rupees.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
230(1),Giving or fabricating false evidence with intent to cause any person to be convicted of capital offence.,"Imprisonment for life, or rigorous imprisonment for 10 years and 50,000 rupees.",non_cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 174",
230(2),If innocent person be thereby convicted and executed.,"Death, or as above.",non_cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
231,"Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 years, or upwards.",The same as for the offence.,non_cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
232(1),Threatening any person to give false evidence.,"Imprisonment for 7 years, or fine, or both.",cognizable,,non_bailable,Court by which offence of giving false evidence is triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
232(2),"If innocent person is convicted and sentenced in consequence of false evidence with death, or imprisonment for more than 7 years.",The same as for the offence.,cognizable,,non_bailable,Court by which offence of giving false evidence is triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
233,Using in a judicial proceeding evidence known to be false or fabricated.,The same as for giving or fabricating false evidence.,non_cognizable,,conditional,Court by which offence of giving or fabricating false evidence is triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
234,Knowingly issuing or signing a false certificate relating to any fact of which such certificate is by law admissible in evidence.,The same as for giving false evidence.,non_cognizable,,bailable,Court by which offence of giving false evidence is triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
235,Using as a true certificate one known to be false in a material point.,The same as for giving false evidence.,non_cognizable,,bailable,Court by which offence of giving false evidence is triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
236,False statement made in any declaration which is by law receivable as evidence.,The same as for giving false evidence.,non_cognizable,,bailable,Court by which offence of giving false evidence is triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
237,Using as true any such declaration known to be false.,The same as for giving false evidence.,non_cognizable,,bailable,Court by which offence of giving false evidence is triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
238(a),"Causing disappearance of evidence of an offence committed, or giving false information touching it to screen the offender, if a capital offence.",Imprisonment for 7 years and fine.,conditional,,bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",According as the offence in relation to which disappearance of evidence is caused is cognizable or non-cognizable.
238(b),If punishable with imprisonment for life or imprisonment for 10 years.,Imprisonment for 3 years and fine.,non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
238(c),If punishable with less than 10 years' imprisonment.,"Imprisonment for one-fourth of the longest term provided for the offence, or fine, or both.",non_cognizable,,bailable,Court by which the offence is triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
239,Intentional omission to give information of an offence by a person legally bound to inform.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
240,Giving false information respecting an offence committed.,"Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
241,Secreting or destroying any document to prevent its production as evidence.,"Imprisonment for 3 years, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 175",
242,"False personation for the purpose of any act or proceeding in a suit or criminal prosecution, or for becoming bail or security.","Imprisonment for 3 years, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 176",
243,"Fraudulent removal or concealment, etc., of property to prevent its seizure as a forfeiture or in satisfaction of a fine under sentence, or in execution of a decree.","Imprisonment for 3 years, or fine, of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 176",
244,"Claiming property without right, or practising deception touching any right to it, to prevent its being taken as a forfeiture, or in satisfaction of a fine under sentence, or in execution of a decree.","Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 176",
245,"Fraudulently suffering a decree to pass for a sum not due, or suffering decree to be executed after it has been satisfied.","Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 176",
246,False claim in a Court.,Imprisonment for 2 years and fine.,non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 176",
247,"Fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied.","Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 176",
248(a),False charge of offence made with intent to injure.,"Imprisonment for 5 years, or fine of 2 lakh rupees, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 176",
248(b),"Criminal proceeding instituted on a false charge of an offence punishable with death, imprisonment for life, or imprisonment for ten years or upwards.",Imprisonment for 10 years and fine.,non_cognizable,,bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 176",
249(a),"Harbouring an offender, if the offence is punishable with death.",Imprisonment for 5 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 176",
249(b),If punishable with imprisonment for life or with imprisonment for 10 years.,Imprisonment for 3 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 176",
249(c),If punishable with imprisonment for 1 year and not for 10 years.,"Imprisonment for one-fourth of the longest term, and of the descriptions, provided for the offence, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 176",
250(a),"Taking gift, etc., to screen an offender from punishment if the offence is punishable with death.",Imprisonment for 7 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 176",
250(b),If punishable with imprisonment for life or with imprisonment for 10 years.,Imprisonment for 3 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
250(c),If punishable with imprisonment for less than 10 years.,"Imprisonment for one-fourth of the longest term provided for the offence, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
251(a),Offering gift or restoration of property in consideration of screening offender if the offence is punishable with death.,Imprisonment for 7 years and fine.,non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
251(b),If punishable with imprisonment for life or with imprisonment for 10 years.,Imprisonment for 3 years and fine.,non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
251(c),If punishable with imprisonment for less than 10 years.,"Imprisonment for one-fourth of the longest term, provided for the offence, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
252,Taking gift to help to recover movable property of which a person has been deprived by an offence without causing apprehension of offender.,"Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
253(a),"Harbouring an offender who has escaped from custody, or whose apprehension has been ordered, if the offence is punishable with death.",Imprisonment for 7 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
253(b),If punishable with imprisonment for life or with imprisonment for 10 years.,"Imprisonment for 3 years, with or without fine.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
253(c),If punishable with imprisonment for 1 year and not for 10 years.,"Imprisonment for one-fourth of the longest term provided for the offence, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
254,Harbouring robbers or dacoits.,Rigorous imprisonment for 7 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
255,"Public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture.","Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
256,"Public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfeiture.","Imprisonment for 3 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
257,"Public servant in a judicial proceeding corruptly making and pronouncing an order, report, etc. contrary to law.","Imprisonment for 7 years, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 177",
258,"Commitment for trial or confinement by a person having authority, who knows that he is acting contrary to law.","Imprisonment for 7 years, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
259(a),"Intentional omission to apprehend on the part of a public servant bound by law to apprehend an offender, if the offence is punishable with death.","Imprisonment for 7 years, with or without fine.",conditional,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",According as the offence in relation to which such omission has been made is cognizable or non-cognizable.
259(b),If punishable with imprisonment for life or imprisonment for 10 years.,"Imprisonment for 3 years, with or without fine.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
259(c),If punishable with imprisonment for less than 10 years.,"Imprisonment for 2 years, with or without fine.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
260(a),Intentional omission to apprehend on the part of a public servant bound by law to apprehend person under sentence of a Court if under sentence of death.,"Imprisonment for life, or imprisonment for 14 years, with or without fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
260(b),"If under sentence of imprisonment for life or imprisonment for 10 years, or upwards.","Imprisonment for 7 years, with or without fine.",cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
260(c),If under sentence of imprisonment for less than 10 years or lawfully committed to custody.,"Imprisonment for 3 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
261,Escape from confinement negligently suffered by a public servant.,"Simple imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
262,Resistance or obstruction by a person to his lawful apprehension.,"Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
263(a),"Resistance or obstruction to the lawful apprehension of any person, or rescuing him from lawful custody.","Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
263(b),If charged with an offence punishable with imprison-ment for life or imprison-ment for 10 years.,Imprisonment for 3 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
263(c),If charged with offence punishable with death.,Imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
263(d),"If the person is sentenced to imprisonment for life, or imprisonment for 10 years, or upwards.",Imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
263(e),If under sentence of death.,"Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178",
264,"Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for:— (a) in case of intentional omission or sufferance; / (b) in case of negligent omission or sufferance.","Imprisonment for 3 years, or fine, or both. / Simple imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate. / Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 178-179",
265,"Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for.","Imprisonment for 6 months, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
266,Violation of condition of remission of punishment.,"Punishment of original sentence, or if part of the punishment has been undergone, the residue.",cognizable,,non_bailable,The Court by which the original offence was triable.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
267,Intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding.,"Simple imprisonment for 6 months, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,"The Court in which the offence is committed, subject to the provisions of Chapter XXVIII; or, if not committed, in a Court, any Magistrate.","BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
268,Personation of an assessor.,"Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
269,Failure by person released on bond or bail bond to appear in Court.,"Imprisonment for 1 year, or fine, or both.",cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
271,Negligently doing any act known to be likely to spread infection of any disease dangerous to life.,"Imprisonment for 6 months, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
272,Malignantly doing any act known to be likely to spread infection of any disease dangerous to life.,"Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
273,Knowingly disobeying any quarantine rule.,"Imprisonment for 6 months, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
274,"Adulterating food or drink intended for sale, so as to make the same noxious.","Imprisonment for 6 months, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
275,"Selling any food or drink as food and drink, knowing the same to be noxious.","Imprisonment for 6 months, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
276,"Adulterating any drug or medical preparation intended for sale so as to lessen its efficacy, or to change its operation, or to make it noxious.","Imprisonment for 1 year, or fine of 5,000 rupees, or both.",non_cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
277,Sale of adulterated drugs.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
278,Knowingly selling of drug as a different drug or preparation.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
279,Fouling water of public spring or reservoir.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
280,Making atmosphere noxious to health.,"Fine of 1,000 rupees.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 179",
281,Rash driving or riding on a public way.,"Imprisonment for 6 months, or fine of 1,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
282,Rash navigation of vessel.,"Imprisonment for 6 months, or fine of 10,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
283,"Exhibition of a false light, mark or buoy.","Imprisonment for 7 years, and fine which shall not be less than 10,000 rupees.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
284,Conveying person by water for hire in unsafe or overloaded vessel.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
285,Causing danger or obstruction in public way or line of navigation.,"Fine of 5,000 rupees.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
286,Negligent conduct with respect to poisonous substance.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
287,Negligent conduct with respect to fire or combustible matter.,"Imprisonment for 6 months, or fine of 2,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
288,Negligent conduct with respect to explosive substance.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
289,Negligent conduct with respect to machinery.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
290,"Negligent conduct with respect to pulling down, repairing or constructing buildings, etc.","Imprisonment for 6 months, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
291,Negligent conduct with respect to animal.,"Imprisonment for 6 months, or fine of 5,000 rupees, or both.",cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
292,Committing public nuisance in cases not otherwise provided for.,"Fine of 1,000 rupees.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 180",
