bns_section,offence,punishment,cognizable,condition,bailable,triable_by,source_ref,notes
70(2),Gang rape on a woman under eighteen years of age.,Imprisonment for life which shall mean imprisonment for the remainder of that person's natural life and with fine or with death.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
71,Repeat offenders.,Imprisonment for life which shall mean imprisonment for the remainder of that person's natural life or with death.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
72(1),"Disclosure of identity of the victim of certain offences, etc.",Imprisonment for 2 years and fine.,cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
73,Printing or publication of a proceeding without prior permission of court.,Imprisonment for 2 years and fine.,cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
74,Assault or use of criminal force to woman with intent to outrage her modesty.,Imprisonment for 1 year which may extend to 5 years and fine.,cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
75(2),Sexual harassment and punishment for sexual harassment specified in clause (i) or clause (ii) or clause (iii) of sub-section (1).,"Rigorous imprisonment with 3 years, or fine, or both.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
75(3),Sexual harassment and punishment for sexual harassment specified in clause (iv) of sub-section (1).,"Imprisonment for 1 year, or fine, or both.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
76,Assault or use of criminal force to woman with intent to disrobe.,Imprisonment for not less than 3 years but which may extend to 7 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
77,Voyeurism. / Second or subsequent conviction.,Imprisonment for not less than 1 year but which may extend to 3 years and fine. / Imprisonment for not less than 3 years but which may extend to 7 years and fine.,cognizable,,conditional,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
78(2),Stalking. / Second or subsequent conviction.,Imprisonment up to 3 years and fine. / Imprisonment up to 5 years and fine.,cognizable,,conditional,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
79,"Uttering any word or making any gesture intended to insult the modesty of a woman, etc.",Simple imprisonment for 3 years and fine.,cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
80(2),Dowry death.,Imprisonment for not less than 7 years but which may extend to imprisonment for life.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
81,"A man by deceit causing a woman not lawfully married to him to believe, that she is lawfully married to him and to cohabit with him in that belief.",Imprisonment for 10 years and fine.,non_cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 161",
82(1),Marrying again during the life time of a husband or wife.,Imprisonment for 7 years and fine.,non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 162",
82(2),Same offence with concealment of the former marriage from the person with whom subsequent marriage is contracted.,Imprisonment for 10 years and fine.,non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 162",
83,"A person with fraudulent intention going through the ceremony of being married, knowing that he is not thereby lawfully married.",Imprisonment up to 7 years and fine.,non_cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 162",
84,Enticing or taking away or detaining with a criminal intent a married woman.,"Imprisonment for 2 years, or fine, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 162",
85,Punishment for subjecting a married woman to cruelty.,Imprisonment for 3 years and fine.,conditional,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 162","Cognizable if information relating to the commission of the offence is given to an officer in charge of a police station by the person aggrieved by the offence or by any person related to her by blood, marriage or adoption or if there is no such relative, by any public servant belonging to such class or category as may be notified by the State Government in this behalf."
87,"Kidnapping, abducting or inducing woman to compel her marriage, etc.",Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 162",
88,Causing miscarriage. / If the woman be quick with child.,"Imprisonment for 3 years, or fine, or both. / Imprisonment for 7 years and fine.",non_cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 162",
89,Causing miscarriage without women's consent.,"Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 162",
90(1),Death caused by an act done with intent to cause miscarriage.,Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 162",
90(2),If act done without women's consent.,"Imprisonment for life, or as above.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 162",
91,"Act done with intent to prevent a child being born alive, or to cause it to die after its birth.","Imprisonment for 10 years, or fine, or both.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 162",
92,Causing death of a quick unborn child by an act amounting to culpable homicide.,Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 162",
93,Exposure of a child under 12 years of age by parent or person having care of it with intention of wholly abandoning it.,"Imprisonment for 7 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
94,Concealment of birth by secret disposal of dead body.,"Imprisonment for 2 years, or fine, or both.",cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
95,"Hiring, employing or engaging a child to commit an offence. / If offence be committed.",Imprisonment for not less than 3 years but which may extend to 10 years and fine. / Same as for the offence committed.,cognizable,,non_bailable,Court by which offence committed is triable. / Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
96,Procuration of child.,Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
97,Kidnapping or abducting a child under ten years with intent to steal from its person.,Imprisonment for 7 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
98,"Selling child for purposes of prostitution, etc.",Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
99,"Buying child for purposes of prostitution, etc.",Imprisonment for not less than 7 years but which may extend to 14 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
103(1),Murder.,Death or imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
103(2),Murder by group of five or more persons.,Death or with imprisonment for life and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
104,Murder by life-convict.,"Death or imprisonment for life, which shall mean the remainder of that person's natural life.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
105,"Culpable homicide not amounting to murder, if act by which the death is caused is done with intention of causing death, etc. / If act be done with knowledge that it is likely to cause death, but without any intention to cause death, etc.","Imprisonment for life, or Imprisonment for not less than 5 years but which may extend to 10 years and fine. / Imprisonment for 10 years and with fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
106(1),Causing death by negligence. / Causing death by negligence by registered medical practitioner.,Imprisonment for 5 years and fine. / Imprisonment for 2 years and fine,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
106(2),Causing death by rash and negligent driving of vehicle and escaping.,Imprisonment for 10 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
107,"Abetment of suicide of child or person of unsound mind, etc.","Death, or imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
108,Abetment of suicide.,Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163",
109(1),Attempt to murder. / If such act causes hurt to any person.,"Imprisonment for 10 years and fine. / Imprisonment for life, or as above.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 163-164",
109(2),"Attempt by life-convict to murder, if hurt is caused.","Death, or imprisonment for life which shall mean the remainder of that person's natural life.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
110,Attempt to commit culpable homicide. / If such act causes hurt to any person.,"Imprisonment for 3 years, or fine, or both. / Imprisonment for 7 years, or fine, or both.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
111(2)(a),Organised crime resulting in death of any person.,Death or imprisonment for life and fine of not less than 10 lakh rupees.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
111(2)(b),In any other case.,Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine of not less than 5 lakh rupees.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
111(3),"Abetting, attempting, conspiring or knowingly facilitating the commission of organised crime.",Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine of not less than 5 lakh rupees.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
111(4),Being a member of an organised crime syndicate.,Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine of not less than 5 lakh rupees.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 164",
